{Temperature=26.3, SoundIntensity=0, Humidity=48.1, Wet=0, LightIntensity=212, timestamp=20180708T101839Z}
{Temperature=26.3, SoundIntensity=0, Humidity=48.1, Wet=0, LightIntensity=212, timestamp=20180708T101842Z}
{Temperature=26.3, SoundIntensity=0, Humidity=48.2, Wet=0, LightIntensity=213, timestamp=20180708T101846Z}
{Temperature=26.3, SoundIntensity=0, Humidity=48.2, Wet=0, LightIntensity=213, timestamp=20180708T101849Z}
{Temperature=26.3, SoundIntensity=0, Humidity=48.1, Wet=0, LightIntensity=213, timestamp=20180708T101852Z}
{Temperature=26.2, SoundIntensity=0, Humidity=48, Wet=0, LightIntensity=211, timestamp=20180708T101855Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=213, timestamp=20180708T101858Z}
{Temperature=26.2, SoundIntensity=0, Humidity=48, Wet=0, LightIntensity=218, timestamp=20180708T101901Z}
{Temperature=26.2, SoundIntensity=0, Humidity=48, Wet=0, LightIntensity=214, timestamp=20180708T101904Z}
{Temperature=26.3, SoundIntensity=0, Humidity=48, Wet=0, LightIntensity=214, timestamp=20180708T101907Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=212, timestamp=20180708T101910Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=212, timestamp=20180708T101913Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=218, timestamp=20180708T101916Z}
{Temperature=26.3, SoundIntensity=0, Humidity=48, Wet=0, LightIntensity=214, timestamp=20180708T101919Z}
{Temperature=26.3, SoundIntensity=0, Humidity=48, Wet=0, LightIntensity=213, timestamp=20180708T101923Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=218, timestamp=20180708T101926Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=207, timestamp=20180708T101929Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=214, timestamp=20180708T101932Z}
